"{'x': -3.0550496578216553, 'y': 3.3628623485565186, 'z': 1.759469985961914}"
"{'x': -7.385376453399658, 'y': 8.404203414916992, 'z': 4.454198837280273}"
"{'x': -10.086126327514648, 'y': 11.616666793823242, 'z': 6.425622463226318}"
"{'x': -11.926043510437012, 'y': 13.586501121520996, 'z': 7.271822452545166}"
"{'x': -13.202488899230957, 'y': 14.87684440612793, 'z': 7.591837406158447}"
"{'x': -13.784008979797363, 'y': 15.684516906738281, 'z': 7.883113384246826}"
"{'x': -14.058462142944336, 'y': 16.039525985717773, 'z': 7.870143890380859}"
"{'x': -14.389533996582031, 'y': 16.429397583007812, 'z': 8.067789077758789}"
"{'x': -14.48598861694336, 'y': 16.6976261138916, 'z': 7.530965328216553}"
"{'x': -14.60971736907959, 'y': 16.831846237182617, 'z': 7.242350101470947}"
"{'x': -14.708930015563965, 'y': 16.79643440246582, 'z': 7.04420804977417}"
"{'x': -14.531031608581543, 'y': 16.74614715576172, 'z': 6.595855712890625}"
"{'x': -14.555574417114258, 'y': 16.773645401000977, 'z': 6.296269416809082}"
"{'x': -14.599408149719238, 'y': 16.735754013061523, 'z': 5.892427444458008}"
"{'x': -14.556711196899414, 'y': 16.850709915161133, 'z': 5.681270599365234}"
"{'x': -14.530851364135742, 'y': 17.04206657409668, 'z': 5.809372901916504}"
"{'x': -14.363554000854492, 'y': 17.05992889404297, 'z': 5.4871039390563965}"
"{'x': -14.226820945739746, 'y': 16.941753387451172, 'z': 4.919975757598877}"
"{'x': -14.142759323120117, 'y': 16.875497817993164, 'z': 4.531259536743164}"
"{'x': -14.181273460388184, 'y': 16.77509117126465, 'z': 4.261297225952148}"
"{'x': -14.188830375671387, 'y': 16.638389587402344, 'z': 4.008512496948242}"
"{'x': -14.12024974822998, 'y': 16.742237091064453, 'z': 4.0217180252075195}"
"{'x': -14.17072582244873, 'y': 16.827451705932617, 'z': 3.8651645183563232}"
"{'x': -14.105195999145508, 'y': 16.64955711364746, 'z': 3.3071541786193848}"
"{'x': -14.178923606872559, 'y': 16.581586837768555, 'z': 3.034418821334839}"
"{'x': -14.218341827392578, 'y': 16.636083602905273, 'z': 2.9880025386810303}"
"{'x': -14.117209434509277, 'y': 16.559064865112305, 'z': 2.586897850036621}"
"{'x': -14.125271797180176, 'y': 16.524322509765625, 'z': 2.05690598487854}"
"{'x': -14.16750717163086, 'y': 16.412023544311523, 'z': 1.8515444993972778}"
"{'x': -14.102349281311035, 'y': 16.216510772705078, 'z': 1.7022038698196411}"
"{'x': -13.972115516662598, 'y': 16.172607421875, 'z': 1.536373257637024}"
"{'x': -13.83348274230957, 'y': 16.127958297729492, 'z': 1.0642211437225342}"
"{'x': -13.872740745544434, 'y': 16.13245964050293, 'z': 0.7012224793434143}"
"{'x': -13.813702583312988, 'y': 16.109270095825195, 'z': 0.3476523756980896}"
"{'x': -13.76612377166748, 'y': 15.982200622558594, 'z': -0.07956472039222717}"
"{'x': -13.702881813049316, 'y': 15.955118179321289, 'z': -0.5259896516799927}"
"{'x': -13.6627197265625, 'y': 15.959064483642578, 'z': -1.1281747817993164}"
"{'x': -13.476812362670898, 'y': 15.952380180358887, 'z': -1.2288951873779297}"
"{'x': -13.175249099731445, 'y': 15.842673301696777, 'z': -1.4521139860153198}"
"{'x': -13.03679084777832, 'y': 15.8214693069458, 'z': -1.8707735538482666}"
"{'x': -13.04226303100586, 'y': 15.769104957580566, 'z': -1.9923605918884277}"
"{'x': -13.11203384399414, 'y': 15.69562816619873, 'z': -1.9390159845352173}"
"{'x': -13.041498184204102, 'y': 15.542037010192871, 'z': -1.9127002954483032}"
"{'x': -12.944645881652832, 'y': 15.400385856628418, 'z': -2.192687749862671}"
"{'x': -13.018866539001465, 'y': 15.299696922302246, 'z': -2.6045351028442383}"
"{'x': -13.275437355041504, 'y': 15.334830284118652, 'z': -2.760301351547241}"
"{'x': -13.275211334228516, 'y': 15.24375057220459, 'z': -2.7744479179382324}"
"{'x': -13.241110801696777, 'y': 14.939596176147461, 'z': -3.048468828201294}"
"{'x': -13.208701133728027, 'y': 14.632818222045898, 'z': -3.1305534839630127}"
"{'x': -13.027043342590332, 'y': 14.417627334594727, 'z': -3.3686134815216064}"
"{'x': -12.86829948425293, 'y': 14.28582763671875, 'z': -3.4462456703186035}"
"{'x': -12.900851249694824, 'y': 14.182219505310059, 'z': -3.3615543842315674}"
"{'x': -12.874208450317383, 'y': 14.11328125, 'z': -3.7455365657806396}"
"{'x': -12.834447860717773, 'y': 13.840689659118652, 'z': -4.18068790435791}"
"{'x': -12.85627269744873, 'y': 13.756061553955078, 'z': -4.6167426109313965}"
"{'x': -12.775314331054688, 'y': 13.925491333007812, 'z': -4.719609260559082}"
"{'x': -12.797871589660645, 'y': 13.916912078857422, 'z': -5.065365791320801}"
"{'x': -12.771918296813965, 'y': 13.73587417602539, 'z': -5.438143730163574}"
"{'x': -12.78329849243164, 'y': 13.732484817504883, 'z': -5.440612316131592}"
"{'x': -12.805241584777832, 'y': 13.691591262817383, 'z': -5.718308448791504}"
"{'x': -12.752696990966797, 'y': 13.42264175415039, 'z': -5.742891311645508}"
"{'x': -12.74008560180664, 'y': 13.090128898620605, 'z': -5.805350303649902}"
"{'x': -12.673735618591309, 'y': 12.718871116638184, 'z': -6.232812881469727}"
"{'x': -12.7405366897583, 'y': 12.465370178222656, 'z': -6.81707763671875}"
"{'x': -12.974539756774902, 'y': 12.485798835754395, 'z': -6.971073627471924}"
"{'x': -12.95296573638916, 'y': 12.551804542541504, 'z': -6.879886627197266}"
"{'x': -12.742640495300293, 'y': 12.591930389404297, 'z': -6.7552289962768555}"
"{'x': -12.64505672454834, 'y': 12.568018913269043, 'z': -6.688388347625732}"
"{'x': -12.656449317932129, 'y': 12.530473709106445, 'z': -6.948356628417969}"
"{'x': -12.555159568786621, 'y': 12.55867862701416, 'z': -7.181308746337891}"
"{'x': -12.494791984558105, 'y': 12.399904251098633, 'z': -7.452132701873779}"
"{'x': -12.597837448120117, 'y': 12.279317855834961, 'z': -7.440230846405029}"
"{'x': -12.43137264251709, 'y': 12.028396606445312, 'z': -7.39981746673584}"
"{'x': -12.384746551513672, 'y': 11.75442886352539, 'z': -7.235195636749268}"
"{'x': -12.475213050842285, 'y': 11.717947006225586, 'z': -7.2018938064575195}"
"{'x': -12.536741256713867, 'y': 11.766507148742676, 'z': -7.779355525970459}"
"{'x': -12.45520305633545, 'y': 11.498653411865234, 'z': -8.418374061584473}"
"{'x': -12.34575366973877, 'y': 11.30447006225586, 'z': -8.838168144226074}"
"{'x': -12.113426208496094, 'y': 11.134469032287598, 'z': -8.787256240844727}"
"{'x': -12.103168487548828, 'y': 11.130270004272461, 'z': -8.959420204162598}"
"{'x': -11.984685897827148, 'y': 11.065835952758789, 'z': -9.230055809020996}"
"{'x': -12.063858032226562, 'y': 11.029254913330078, 'z': -9.400314331054688}"
"{'x': -12.168542861938477, 'y': 11.029166221618652, 'z': -9.565513610839844}"
"{'x': -12.150280952453613, 'y': 10.779215812683105, 'z': -9.854134559631348}"
"{'x': -12.195258140563965, 'y': 10.580536842346191, 'z': -9.9363374710083}"
"{'x': -12.023550987243652, 'y': 10.611268043518066, 'z': -9.914857864379883}"
"{'x': -11.87579345703125, 'y': 10.537009239196777, 'z': -9.839362144470215}"
"{'x': -11.786701202392578, 'y': 10.346025466918945, 'z': -9.843908309936523}"
"{'x': -11.817121505737305, 'y': 10.183382987976074, 'z': -9.907106399536133}"
"{'x': -11.89067554473877, 'y': 10.06888484954834, 'z': -10.041836738586426}"
"{'x': -12.020270347595215, 'y': 10.075125694274902, 'z': -9.966714859008789}"
"{'x': -11.940934181213379, 'y': 9.988429069519043, 'z': -10.514598846435547}"
"{'x': -11.854314804077148, 'y': 9.909493446350098, 'z': -10.790068626403809}"
"{'x': -11.717961311340332, 'y': 9.82776165008545, 'z': -10.884912490844727}"
"{'x': -11.649125099182129, 'y': 9.780338287353516, 'z': -10.80324649810791}"
"{'x': -11.588813781738281, 'y': 9.700593948364258, 'z': -10.637948036193848}"
"{'x': -11.563762664794922, 'y': 9.605042457580566, 'z': -10.676433563232422}"
"{'x': -11.625439643859863, 'y': 9.502899169921875, 'z': -10.870084762573242}"
"{'x': -11.509011268615723, 'y': 9.17133903503418, 'z': -10.838765144348145}"
"{'x': -11.448953628540039, 'y': 8.983123779296875, 'z': -10.93879508972168}"
"{'x': -11.507641792297363, 'y': 9.019844055175781, 'z': -11.2984037399292}"
"{'x': -11.575531959533691, 'y': 9.090566635131836, 'z': -11.370656967163086}"
"{'x': -11.601808547973633, 'y': 9.165827751159668, 'z': -11.2799711227417}"
"{'x': -11.552407264709473, 'y': 9.214125633239746, 'z': -11.226317405700684}"
"{'x': -11.430594444274902, 'y': 8.969371795654297, 'z': -11.297554016113281}"
"{'x': -11.26625919342041, 'y': 8.741722106933594, 'z': -11.318263053894043}"
"{'x': -11.24443244934082, 'y': 8.519547462463379, 'z': -11.23845100402832}"
"{'x': -11.225266456604004, 'y': 8.493912696838379, 'z': -11.161592483520508}"
