"{'roll': 229.12936810602696, 'pitch': 301.2643687985548, 'yaw': 28.93565928665214}"
"{'roll': 229.11738795422275, 'pitch': 301.54873006426993, 'yaw': 29.512093101655363}"
"{'roll': 227.6302235454792, 'pitch': 301.56151617839623, 'yaw': 31.258210472401615}"
"{'roll': 227.1367150571891, 'pitch': 302.2527313224015, 'yaw': 32.43662300990391}"
"{'roll': 227.09809716762186, 'pitch': 302.19056294057606, 'yaw': 32.953248273439925}"
"{'roll': 226.0835545286865, 'pitch': 302.31291211917846, 'yaw': 34.128471112599826}"
"{'roll': 224.94523520161218, 'pitch': 302.891145689028, 'yaw': 35.39995180773272}"
"{'roll': 224.3256277608653, 'pitch': 303.5181399793622, 'yaw': 36.281391135217454}"
"{'roll': 223.95364199828805, 'pitch': 303.29692381252386, 'yaw': 36.975280298282804}"
"{'roll': 225.19244706843162, 'pitch': 303.39990598973475, 'yaw': 36.68847040975021}"
"{'roll': 222.85516999483158, 'pitch': 303.46199240929013, 'yaw': 38.3226307347162}"
"{'roll': 222.50764996986135, 'pitch': 303.2610823948542, 'yaw': 39.28272652068279}"
"{'roll': 222.1410600567284, 'pitch': 303.4489843140159, 'yaw': 39.73509336450732}"
"{'roll': 221.55291246729863, 'pitch': 303.79291507457725, 'yaw': 40.53832702599541}"
"{'roll': 220.83622071768917, 'pitch': 304.11949373955224, 'yaw': 41.8231095145369}"
"{'roll': 219.45833933566584, 'pitch': 304.56770782836145, 'yaw': 44.082921997665224}"
"{'roll': 218.51227617334902, 'pitch': 304.6332366632585, 'yaw': 45.34298603160045}"
"{'roll': 218.56074319569944, 'pitch': 304.6760926852058, 'yaw': 45.68855945265724}"
"{'roll': 217.86559386273223, 'pitch': 304.8963013991416, 'yaw': 45.87831918327312}"
"{'roll': 218.0125795336709, 'pitch': 305.00154095387313, 'yaw': 45.92820346987631}"
"{'roll': 218.11795569218586, 'pitch': 305.5445512381729, 'yaw': 46.789879644997605}"
"{'roll': 218.59807700970273, 'pitch': 305.11316332038405, 'yaw': 46.98605633833871}"
"{'roll': 219.42151095566112, 'pitch': 304.47461576506873, 'yaw': 46.8318818932986}"
"{'roll': 220.80294403605288, 'pitch': 303.9074778375259, 'yaw': 46.568280987565714}"
"{'roll': 219.58445194850094, 'pitch': 303.73894291975586, 'yaw': 47.99069861807213}"
"{'roll': 220.00566971461564, 'pitch': 303.2652863762884, 'yaw': 48.460236557470076}"
